"b,g",0.8375000000000001;0.8390625000000002,0.9890625000000001;0.9906250000000001,-1,0.001,3,2
"b,g",0.8421875000000001;0.8437500000000001,0.9890625000000001;0.9906250000000001,-1,0.001,3,2
"b,g",0.8421875000000001;0.8437500000000001,0.9921875;0.99375,-1,0.001,3,2
"b,g",0.8406250000000002;0.8421875000000001,0.9890625000000001;0.9906250000000001,-1,0.001,3,2
"b,g",0.8375000000000001;0.8390625000000002,0.9906250000000001;0.9921875,-1,0.001,3,2
"b,g",0.8421875000000001;0.8437500000000001,0.9906250000000001;0.9921875,-1,0.001,3,2
"b,g",0.8406250000000002;0.8421875000000001,0.9921875;0.99375,-1,0.001,3,2
"b,g",0.8421875000000001;0.8437500000000001,0.9875;0.9890625000000001,-1,0.001,3,2
"b,g",0.8406250000000002;0.8421875000000001,0.9906250000000001;0.9921875,-1,0.001,3,2
"b,g",0.8390625000000002;0.8406250000000002,0.9906250000000001;0.9921875,0,0.001,2,2
"b,g",0.8390625000000002;0.8406250000000002,0.9890625000000001;0.9906250000000001,0,0.001,2,2
"b,g",0.8375000000000001;0.8390625000000002,0.9921875;0.99375,0,0.001,2,2
"b,g",0.8375000000000001;0.8390625000000002,0.9875;0.9890625000000001,0,0.001,2,2
"b,g",0.8390625000000002;0.8406250000000002,0.9875;0.9890625000000001,0,0.001,2,2
"b,g",0.8406250000000002;0.8421875000000001,0.9875;0.9890625000000001,2,0.001,0,2
"b,g",0.8390625000000002;0.8406250000000002,0.9921875;0.99375,2,0.001,0,2
"b,g",0.8500000000000001;0.8531250000000001,1.0;1.003125,3,0.001,0,2
"b,g",0.8531250000000001;0.8562500000000001,1.003125;1.00625,3,0.001,0,2
"b,g",0.8531250000000001;0.8562500000000001,1.0;1.003125,3,0.001,0,2
"b,g",0.8500000000000001;0.8531250000000001,1.003125;1.00625,3,0.001,0,2
"b,g",0.8562500000000001;0.8625,1.00625;1.0125,4,0.001,0,2
"b,g",0.9375;0.94375,0.925;0.93125,4,0.001,0,2
"b,g",0.8500000000000001;0.8562500000000001,1.00625;1.0125,4,0.001,0,2
"b,g",0.9375;0.94375,0.93125;0.9375,4,0.001,0,2
"b,g",0.8562500000000001;0.8625,1.0;1.00625,4,0.001,0,2
"b,g",0.86875;0.875,1.0187499999999998;1.025,4,0.001,0,2
"b,g",0.86875;0.875,1.0125;1.0187499999999998,4,0.001,0,2
"b,g",0.8625;0.86875,1.0125;1.0187499999999998,4,0.001,0,2
"b,g",0.8625;0.86875,1.0187499999999998;1.025,4,0.001,0,2
"b,g",0.94375;0.95,0.93125;0.9375,4,0.001,0,2
"b,g",0.95;0.9562499999999999,0.9562499999999999;0.9624999999999999,4,0.001,0,2
"b,g",0.9624999999999999;0.96875,0.9624999999999999;0.96875,4,0.001,0,2
"b,g",0.94375;0.95,0.925;0.93125,4,0.001,0,2
"b,g",0.8500000000000001;0.8562500000000001,1.0125;1.0187499999999998,4,0.001,0,2
"b,g",0.8562500000000001;0.8625,0.9624999999999999;0.96875,4,0.001,0,2
"b,g",0.9624999999999999;0.96875,0.96875;0.975,4,0.001,0,2
"b,g",0.8562500000000001;0.8625,1.0187499999999998;1.025,4,0.001,0,2
"b,g",0.96875;0.975,0.96875;0.975,4,0.001,0,2
"b,g",0.96875;0.975,0.9624999999999999;0.96875,4,0.001,0,2
"b,g",0.95;0.9562499999999999,0.95;0.9562499999999999,4,0.001,0,2
