data,b_low,b_up,g_low,g_up
"b,g",1.196875,1.19765625,0.9890625000000001,0.9898437500000001,1
"b,g",1.196875,1.19765625,0.99140625,0.9921875,1
"b,g",1.1984375,1.19921875,0.98828125,0.9890625000000001,1
"b,g",1.1984375,1.19921875,0.9890625000000001,0.9898437500000001,1
"b,g",1.1953125,1.19609375,0.98828125,0.9890625000000001,1
"b,g",1.1953125,1.19609375,0.9890625000000001,0.9898437500000001,1
"b,g",1.19375,1.19453125,0.98828125,0.9890625000000001,1
"b,g",1.196875,1.19765625,0.98828125,0.9890625000000001,1
"b,g",1.19375,1.19453125,0.9890625000000001,0.9898437500000001,1
"b,g",1.1890625,1.18984375,0.99296875,0.99375,1
"b,g",1.190625,1.19140625,0.98828125,0.9890625000000001,1
"b,g",1.1890625,1.18984375,0.9890625000000001,0.9898437500000001,1
"b,g",1.1921875,1.19296875,0.99296875,0.99375,1
"b,g",1.190625,1.19140625,0.9890625000000001,0.9898437500000001,1
"b,g",1.1921875,1.19296875,0.99140625,0.9921875,1
"b,g",1.1921875,1.19296875,0.98828125,0.9890625000000001,1
"b,g",1.1921875,1.19296875,0.9890625000000001,0.9898437500000001,1
"b,g",1.1875,1.18828125,0.98828125,0.9890625000000001,1
"b,g",1.1890625,1.18984375,0.98828125,0.9890625000000001,1
"b,g",1.1875,1.18828125,0.99296875,0.99375,1
"b,g",1.190625,1.19140625,0.99140625,0.9921875,1
"b,g",1.190625,1.19140625,0.99296875,0.99375,1
"b,g",1.1875,1.18828125,0.99140625,0.9921875,1
"b,g",1.1890625,1.18984375,0.99140625,0.9921875,1
"b,g",1.1875,1.18828125,0.9890625000000001,0.9898437500000001,1
"b,g",1.06875,1.06953125,0.975,0.97578125,1
"b,g",1.06875,1.06953125,0.9765625,0.97734375,1
"b,g",1.0703125,1.07109375,0.9781249999999999,0.9789062499999999,1
"b,g",1.0703125,1.07109375,0.975,0.97578125,1
"b,g",1.0703125,1.07109375,0.9765625,0.97734375,1
"b,g",1.0703125,1.07109375,0.9796874999999999,0.98046875,1
"b,g",1.06875,1.06953125,0.9796874999999999,0.98046875,1
"b,g",1.06875,1.06953125,0.9781249999999999,0.9789062499999999,1
"b,g",1.071875,1.07265625,0.9765625,0.97734375,1
"b,g",1.071875,1.07265625,0.9796874999999999,0.98046875,1
"b,g",1.0734375,1.07421875,0.9781249999999999,0.9789062499999999,1
"b,g",1.071875,1.07265625,0.9781249999999999,0.9789062499999999,1
"b,g",1.0734375,1.07421875,0.9796874999999999,0.98046875,1
"b,g",1.0734375,1.07421875,0.975,0.97578125,1
"b,g",1.071875,1.07265625,0.975,0.97578125,1
"b,g",1.0734375,1.07421875,0.9765625,0.97734375,1
"b,g",1.0671875,1.06796875,0.975,0.97578125,1
"b,g",1.065625,1.06640625,0.975,0.97578125,1
"b,g",1.0671875,1.06796875,0.9765625,0.97734375,1
"b,g",1.065625,1.06640625,0.9765625,0.97734375,1
"b,g",1.065625,1.06640625,0.9781249999999999,0.9789062499999999,1
"b,g",1.065625,1.06640625,0.9796874999999999,0.98046875,1
"b,g",1.0671875,1.06796875,0.9796874999999999,0.98046875,1
"b,g",1.0671875,1.06796875,0.9781249999999999,0.9789062499999999,1
"b,g",1.0625,1.06328125,0.975,0.97578125,1
"b,g",1.0640625,1.06484375,0.9765625,0.97734375,1
"b,g",1.0625,1.06328125,0.9765625,0.97734375,1
"b,g",1.0640625,1.06484375,0.975,0.97578125,1
"b,g",1.0625,1.06328125,0.9796874999999999,0.98046875,1
"b,g",1.0640625,1.06484375,0.9781249999999999,0.9789062499999999,1
"b,g",1.0640625,1.06484375,0.9796874999999999,0.98046875,1
"b,g",1.0625,1.06328125,0.9781249999999999,0.9789062499999999,1
"b,g",1.0703125,1.07109375,0.9828125,0.98359375,1
