"ar,c,rho",1.9025000000000003;1.9050000000000002,0.2625;0.265,1.5625;1.565,10,0.001,0,1
"ar,c,rho",1.9025000000000003;1.9050000000000002,0.2625;0.265,1.56;1.5625,10,0.001,0,1
"ar,c,rho",0.45749999999999996;0.45999999999999996,0.42;0.4225,0.49;0.4925,10,0.001,0,2
"ar,c,rho",0.649375;0.6515625,0.25625;0.2571875,1.65375;1.66078125,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6132812500000001,0.2571875;0.25765625000000003,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.7;0.7024999999999999,0.5125;0.515,10,0.001,0,2
"ar,c,rho",0.6253125000000002;0.62640625,0.2459375;0.24640625,1.305703125;1.30921875,10,0.001,0,2
"ar,c,rho",0.46749999999999997;0.47,0.6724999999999999;0.6749999999999999,0.5025;0.505,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6132812500000001,0.2571875;0.25765625000000003,1.3584375;1.3619531249999999,10,0.001,0,2
"ar,c,rho",0.46499999999999997;0.46749999999999997,0.6724999999999999;0.6749999999999999,0.5;0.5025,10,0.001,0,2
"ar,c,rho",0.6231250000000002;0.6253125000000002,0.2553125;0.25625,1.3584375;1.36546875,10,0.001,0,2
"ar,c,rho",0.46499999999999997;0.46749999999999997,0.6699999999999999;0.6724999999999999,0.5025;0.505,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16499999999999998;0.16546875,1.6783593749999999;1.681875,10,0.001,0,2
"ar,c,rho",0.4426562500000001;0.44375000000000003,0.16499999999999998;0.16546875,1.67484375;1.6783593749999999,10,0.001,0,2
"ar,c,rho",0.6132812500000001;0.6143750000000001,0.25765625000000003;0.258125,1.3619531249999999;1.36546875,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16546875;0.1659375,1.67484375;1.6783593749999999,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16499999999999998;0.16546875,1.6783593749999999;1.681875,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16499999999999998;0.16546875,1.67484375;1.6783593749999999,10,0.001,0,2
"ar,c,rho",0.4415625000000001;0.4426562500000001,0.16640624999999998;0.166875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4240625;0.42515625,0.15375;0.15421875,1.586953125;1.5904687499999999,10,0.001,0,2
"ar,c,rho",0.42499999999999993;0.42999999999999994,0.43999999999999995;0.44499999999999995,0.485;0.49,10,0.001,0,2
"ar,c,rho",0.42499999999999993;0.42999999999999994,0.43999999999999995;0.44499999999999995,0.48;0.485,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16546875;0.1659375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16546875;0.1659375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16499999999999998;0.16546875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16499999999999998;0.16546875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16546875;0.1659375,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16546875;0.1659375,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16499999999999998;0.16546875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16499999999999998;0.16546875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.47;0.48,0.6699999999999999;0.6799999999999999,0.51;0.52,10,0.0010000000000000009,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16640624999999998;0.166875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.16640624999999998;0.166875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.1659375;0.16640624999999998,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.4404687500000001;0.4415625000000001,0.1659375;0.16640624999999998,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16640624999999998;0.166875,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.16640624999999998;0.166875,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.1659375;0.16640624999999998,1.671328125;1.67484375,10,0.001,0,2
"ar,c,rho",0.43937500000000007;0.4404687500000001,0.1659375;0.16640624999999998,1.6678125000000001;1.671328125,10,0.001,0,2
"ar,c,rho",0.45249999999999996;0.45499999999999996,0.6975;0.7,0.5125;0.515,10,0.001,0,2
"ar,c,rho",0.45249999999999996;0.45499999999999996,0.6975;0.7,0.51;0.5125,10,0.001,0,2
"ar,c,rho",0.45249999999999996;0.45499999999999996,0.695;0.6975,0.5125;0.515,10,0.001,0,2
"ar,c,rho",0.45249999999999996;0.45499999999999996,0.695;0.6975,0.51;0.5125,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.6975;0.7,0.5125;0.515,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.6975;0.7,0.51;0.5125,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45249999999999996,0.695;0.6975,0.5125;0.515,10,0.001,0,2
